Time of Day,Time,Image Counts,Pyrometer,Spin_Motor,Dispense X,Dispense Z,Gas Quenching,Sine,BK Set Amps,BK Set Volts,BK Amps,BK Volts,BK Power,2D Image,Spectrometer
-0.72489515,-0.31813726,-0.33794783,0.0,0.0,0.0,0.0,2662384.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,101.txt
-0.72470705,-0.31840514,-0.33735726,0.0,0.0,0.0,0.0,2662384.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,102.txt
-0.72579025,-0.31828937,-0.33841451,0.0,0.0,0.0,0.0,2662384.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,103.txt
-0.72559177,-0.31834417,-0.33725834,0.0,0.0,0.0,0.0,2662368.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,104.txt
-0.72362093,-0.3182018,-0.33648875,0.0,0.0,0.0,0.0,2662368.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,105.txt
-0.72421604,-0.3180737,-0.33729629,0.0,0.0,0.0,0.0,2662368.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,106.txt
-0.72567382,-0.3183218,-0.33785605,0.0,0.0,0.0,0.0,2662368.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,107.txt
-0.725152,-0.31815964,-0.33859872,0.0,0.0,0.0,0.0,2662788.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,109.txt
-0.72673172,-0.31847422,-0.33839311,0.0,0.0,0.0,0.0,2662376.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,110.txt
-0.72713452,-0.31820148,-0.33722494,0.0,0.0,0.0,0.0,2662376.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,111.txt
-0.72659162,-0.31824591,-0.33795691,0.0,0.0,0.0,0.0,2662376.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,112.txt
-0.72736932,-0.31849919,-0.33796696,0.0,0.0,0.0,0.0,2662376.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,113.txt
-0.72439701,-0.31806202,-0.33761022,0.0,0.0,0.0,0.0,2662392.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,114.txt
-0.72664546,-0.31818429,-0.33978019,0.0,0.0,0.0,0.0,2662392.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,116.txt
-0.72501093,-0.31800592,-0.33733131,0.0,0.0,0.0,0.0,2662392.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,117.txt
-0.72406005,-0.31822223,-0.33701738,0.0,0.0,0.0,0.0,2662392.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,118.txt
-0.72442782,-0.31811651,-0.33755022,0.0,0.0,0.0,0.0,2662392.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,119.txt
-0.72496034,-0.31836785,-0.33602012,0.0,0.0,0.0,0.0,2662392.0,0.0,0.0,..\..\..\..\..\..\..,..\MAPI_1pct_ABA_S1_30_tube_5min,3294,Spectrums\MAPI_1pct_ABA_S1_30_tube_5min,3294,120.txt
